run_order,group_index,part_index,run_id,sample_id,generator,target_risk_level,selection_index,repeat_round,traffic_manager_seed,source,config_path,expected_run_root
70,6,18,cvae_medium_20260813_0061__tm_20260823__generator_compare_v1,cvae_medium_20260813_0061,cvae,medium,2,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_medium_20260813_0061__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0061__tm_20260823__generator_compare_v1
71,6,18,gmm_low_20260813_0036__tm_20260821__generator_compare_v1,gmm_low_20260813_0036,gmm,low,3,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_low_20260813_0036__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_low_20260813_0036__tm_20260821__generator_compare_v1
72,6,18,lhs_high_20260813_0024__tm_20260822__generator_compare_v1,lhs_high_20260813_0024,lhs,high,1,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_high_20260813_0024__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_high_20260813_0024__tm_20260822__generator_compare_v1
73,7,19,cvae_medium_20260813_0103__tm_20260821__generator_compare_v1,cvae_medium_20260813_0103,cvae,medium,3,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_medium_20260813_0103__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0103__tm_20260821__generator_compare_v1
74,7,19,gmm_critical_20260813_0067__tm_20260822__generator_compare_v1,gmm_critical_20260813_0067,gmm,critical,1,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_critical_20260813_0067__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0067__tm_20260822__generator_compare_v1
75,7,19,lhs_high_20260813_0077__tm_20260823__generator_compare_v1,lhs_high_20260813_0077,lhs,high,2,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_high_20260813_0077__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_high_20260813_0077__tm_20260823__generator_compare_v1
76,7,19,gmm_low_20260813_0072__tm_20260822__generator_compare_v1,gmm_low_20260813_0072,gmm,low,1,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_low_20260813_0072__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_low_20260813_0072__tm_20260822__generator_compare_v1
77,7,20,gmm_high_20260813_0005__tm_20260821__generator_compare_v1,gmm_high_20260813_0005,gmm,high,3,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_high_20260813_0005__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0005__tm_20260821__generator_compare_v1
78,7,20,lhs_medium_20260813_0110__tm_20260822__generator_compare_v1,lhs_medium_20260813_0110,lhs,medium,1,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_medium_20260813_0110__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_medium_20260813_0110__tm_20260822__generator_compare_v1
79,7,20,cvae_low_20260813_0115__tm_20260823__generator_compare_v1,cvae_low_20260813_0115,cvae,low,2,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_low_20260813_0115__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0115__tm_20260823__generator_compare_v1
80,7,20,cvae_critical_20260813_0042__tm_20260823__generator_compare_v1,cvae_critical_20260813_0042,cvae,critical,2,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_critical_20260813_0042__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0042__tm_20260823__generator_compare_v1
81,7,21,gmm_medium_20260813_0010__tm_20260823__generator_compare_v1,gmm_medium_20260813_0010,gmm,medium,2,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_medium_20260813_0010__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_medium_20260813_0010__tm_20260823__generator_compare_v1
82,7,21,lhs_low_20260813_0077__tm_20260821__generator_compare_v1,lhs_low_20260813_0077,lhs,low,3,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_low_20260813_0077__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_low_20260813_0077__tm_20260821__generator_compare_v1
