model,repeat_index,split_seed,mae,rmse,r2,spearman,mean_bias,high_or_critical_recall,high_or_critical_precision,top_k_observed_recall,target_mean_ordering_strict
ridge,32,20260847,9.494338526403782,13.435704492885755,0.3001602487879348,0.8002574002574003,-0.8253071001651607,0.375,0.3,0.4444444444444444,True
random_forest,33,20260848,5.077728511186612,9.368640430721069,0.6597243577802313,0.9086229086229086,-0.00010312924549557876,0.875,0.5384615384615384,0.6666666666666666,True
ridge,33,20260848,8.163096164724783,11.791718412389935,0.46094643870600827,0.858944658944659,-0.47882939798632435,0.5,0.4444444444444444,0.5555555555555556,True
random_forest,34,20260849,5.828219798647861,10.2988957619732,0.5887943763784538,0.900900900900901,0.47698356197334996,0.75,0.5,0.5555555555555556,True
ridge,34,20260849,7.845215933408917,11.717638912491745,0.46769819128675727,0.8386100386100388,-0.5716025976371638,0.375,0.3333333333333333,0.4444444444444444,True
random_forest,35,20260850,5.861929501228101,10.415883796255804,0.5793993180654031,0.88005148005148,0.5461595782126714,0.75,0.5,0.4444444444444444,True
ridge,35,20260850,10.563942661336508,14.539573084061622,0.18043947888194212,0.7917631917631919,-0.43223439983594375,0.5,0.4,0.4444444444444444,True
random_forest,36,20260851,6.203108401589753,10.554743320359776,0.5681100753366278,0.893951093951094,0.6591883244782443,0.625,0.4166666666666667,0.5555555555555556,True
ridge,36,20260851,9.874044130229311,13.691957201696143,0.27321026265622705,0.8283140283140284,0.26349834768510927,0.25,0.2222222222222222,0.3333333333333333,True
random_forest,37,20260852,5.8972392006295316,10.319477443985969,0.587149198047245,0.8772200772200772,0.2033031430163563,0.75,0.5,0.5555555555555556,True
ridge,37,20260852,9.63147203018696,14.299018311220017,0.20733411930167556,0.7637065637065638,0.2520570937277854,0.25,0.2222222222222222,0.3333333333333333,True
random_forest,38,20260853,5.253273255156281,9.344861309144687,0.661449514640521,0.9305019305019305,0.11954624266363299,0.75,0.5454545454545454,0.6666666666666666,True
ridge,38,20260853,9.05918478068054,12.498657116371609,0.3943741161547275,0.85997425997426,-1.1939101042762494,0.375,0.3333333333333333,0.4444444444444444,True
random_forest,39,20260854,5.683487232302078,10.212655052814833,0.5956522351419402,0.8936936936936938,-0.07586536592445706,0.375,0.375,0.4444444444444444,True
ridge,39,20260854,8.930365882952419,12.734191459269825,0.3713332796801646,0.8074646074646075,-2.197122847820042,0.25,0.25,0.4444444444444444,True
random_forest,40,20260855,6.362660409324725,10.94297489148224,0.5357536202008284,0.8553410553410553,0.7525962952496673,0.75,0.46153846153846156,0.4444444444444444,True
ridge,40,20260855,9.02368280332596,13.277545880430344,0.3165396228494334,0.7804375804375805,-0.046176201673220736,0.25,0.2,0.2222222222222222,True
random_forest,41,20260856,5.268050674590935,9.482460439818654,0.6514060870003495,0.9214929214929215,0.1033256558274508,0.75,0.6,0.6666666666666666,True
ridge,41,20260856,8.65211280056646,12.728165231049323,0.3719281494410057,0.8123552123552125,-1.112559029544438,0.5,0.4,0.4444444444444444,True
random_forest,42,20260857,5.908856476019022,10.62196336815793,0.5625913985596319,0.8756756756756757,-0.08748930798060132,0.75,0.5,0.5555555555555556,True
ridge,42,20260857,9.023774852451158,13.150504804035018,0.32955590685892955,0.8247104247104249,0.5488700866890575,0.5,0.4,0.5555555555555556,True
random_forest,43,20260858,5.735429396255309,10.042758534860246,0.6089936937659661,0.8975546975546975,0.1675398994397131,0.75,0.6,0.6666666666666666,True
ridge,43,20260858,8.566307879909228,12.65062183995632,0.379557601910657,0.8324324324324325,-1.527825956880633,0.5,0.36363636363636365,0.4444444444444444,True
random_forest,44,20260859,5.85287547091617,10.154580447190556,0.6002378341481784,0.898841698841699,0.365766011456048,0.75,0.46153846153846156,0.5555555555555556,True
ridge,44,20260859,9.577343794244342,13.076044026343217,0.3371267880928407,0.8257400257400258,-1.232421899973176,0.5,0.4444444444444444,0.5555555555555556,True
random_forest,45,20260860,5.691546140059098,10.071809126047269,0.606728301583524,0.9055341055341055,0.2645653825612778,0.625,0.5,0.5555555555555556,True
ridge,45,20260860,9.228126767098631,13.121969292746039,0.3324623668651925,0.8324324324324325,-1.6143348347665791,0.25,0.25,0.4444444444444444,True
random_forest,46,20260861,5.411992605317952,9.358178123151804,0.6604839302333412,0.9145431145431145,0.20519049381491142,0.75,0.5454545454545454,0.6666666666666666,True
ridge,46,20260861,9.931516526262492,13.220634499253306,0.32238608170949634,0.840926640926641,-1.93704095922589,0.375,0.3333333333333333,0.4444444444444444,True
random_forest,47,20260862,5.838729795620444,10.024194298625977,0.6104379233483543,0.9083655083655084,0.5544802710315186,0.75,0.42857142857142855,0.5555555555555556,True
ridge,47,20260862,10.525548684681231,14.319028269522976,0.20511406350256878,0.7691119691119692,-0.41631427235245994,0.25,0.2,0.3333333333333333,True
random_forest,48,20260863,5.883716077956597,10.575598558206963,0.5664016366733342,0.8936936936936938,0.14678796922153817,0.75,0.5,0.5555555555555556,True
ridge,48,20260863,9.400988053924193,13.860528481532254,0.2552040618212824,0.7711711711711712,-0.3346130390666516,0.375,0.3333333333333333,0.4444444444444444,True
random_forest,49,20260864,5.756157557118808,10.261909035486482,0.5917426224328666,0.9003861003861005,0.12723972951739843,0.75,0.5454545454545454,0.6666666666666666,True
ridge,49,20260864,9.168458933041865,13.179059901746886,0.32664113176386445,0.8167310167310169,-1.9937251202911328,0.5,0.5,0.5555555555555556,True
